epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
39,240,latent no-align,0.001,148,0.004473887623061199,0.0,0.0,0.0,0.003339704901697366,0.06051942399023352,0.05671256531432674,0.19730639367087469,2.4330841173454048e-05,0.875,1.0,19.748943798787412,,19.748943798787412,15.46849301436249,20.01427578337742,17.81522417261995,0,raw,7,12.66911020129919,272.3562178313732
40,240,latent no-align,0.001,148,0.004481166086751162,0.0,0.0,0.0,0.003410887934355619,0.059962103646751995,0.05606429450012542,0.19575732906122464,2.518191544171517e-05,0.9,1.0,22.45579739626916,,22.45579739626916,15.46849301436249,,17.81522417261995,0,raw,8,10.362584166228771,282.71979784220457
41,240,latent no-align,0.001,148,0.004358700626038921,0.0,0.0,0.0,0.003492570134521638,0.05963111457389754,0.05605156699547897,0.19522335632024584,2.6197853814566673e-05,0.925,1.0,24.139877820478933,,24.139877820478933,15.46849301436249,,17.81522417261995,0,raw,9,10.10024781897664,292.8209994919598
42,240,latent no-align,0.001,148,0.004378569071697122,0.0,0.0,0.0,0.0035616575671057844,0.05886200996669563,0.055214877441726824,0.19580724795122403,2.6232809776391496e-05,0.95,1.0,23.595580730007427,,23.595580730007427,15.46849301436249,,17.81522417261995,0,raw,10,7.943980786949396,300.76592994108796
43,240,latent no-align,0.001,148,0.004434532976734477,0.0,0.0,0.0,0.003700752534928757,0.059943167543089065,0.05437682080711868,0.1955597888980363,2.6842234202942218e-05,0.975,1.0,29.39850768286735,,29.39850768286735,15.46849301436249,,17.81522417261995,0,raw,11,9.968512259423733,310.73536502942443
44,240,latent no-align,0.001,148,0.004304959353789486,0.0,0.0,0.0,0.0038441388216498935,0.06186197542056844,0.054266521203759556,0.19598841526218364,2.7736916837130667e-05,1.0,1.0,29.033559638140176,,29.033559638140176,15.46849301436249,28.027582988095332,17.81522417261995,0,raw,12,12.903489489108324,323.639776814729
45,240,latent no-align,0.001,148,0.004263359224234984,0.0,0.0,0.0,0.003934693484995011,0.06416906574992715,0.05489483447997151,0.20023469435604843,2.8973185119350484e-05,1.0,1.0,27.030103750563352,,27.030103750563352,15.46849301436249,,17.81522417261995,0,raw,13,9.162737291306257,332.80349834263325
46,240,latent no-align,0.001,148,0.004292005325378095,0.0,0.0,0.0,0.003987119866635751,0.06463274445284058,0.05559955333435052,0.2005641268113175,2.9960703060980352e-05,1.0,1.0,27.788116984204933,,27.788116984204933,15.46849301436249,,17.81522417261995,0,raw,14,10.005261573940516,342.8097400777042
47,240,latent no-align,0.001,148,0.004241657838212779,0.0,0.0,0.0,0.004033941961195622,0.06580673767304099,0.054150131908622945,0.19813324440572713,3.130613735314959e-05,1.0,1.0,27.778405149354178,,27.778405149354178,15.46849301436249,,17.81522417261995,0,raw,15,9.803217146545649,352.61388585343957
48,240,latent no-align,0.001,148,0.0043483216133019,0.0,0.0,0.0,0.004106640205341014,0.06729177712790065,0.052551696051818295,0.1948883210283679,3.2180156722461106e-05,1.0,1.0,29.227983410040054,,29.227983410040054,15.46849301436249,,17.81522417261995,0,raw,16,8.853648018091917,361.46845169737935
49,240,latent no-align,0.001,148,0.004168005965373202,0.0,0.0,0.0,0.004154968418407481,0.06758845209874012,0.05222140028569344,0.1912357934020661,3.346372422301273e-05,1.0,1.0,30.04433196108202,,30.04433196108202,15.46849301436249,29.1300879486954,17.81522417261995,0,raw,17,12.149393703788519,373.61883521080017
50,240,latent no-align,0.001,148,0.004248165265921302,0.0,0.0,0.0,0.004133608050619227,0.06526662321207491,0.05192761621563821,0.18761651519988035,3.127916489894552e-05,1.0,1.0,32.31500425000843,,32.31500425000843,15.46849301436249,,17.81522417261995,0,raw,18,9.640889562666416,383.2607907652855
51,240,latent no-align,0.001,148,0.00417346803697984,0.0,0.0,0.0,0.004082670705896374,0.06359659054794826,0.05082983830691995,0.18381114898098483,2.9203074297362724e-05,1.0,1.0,32.24399774744033,,32.24399774744033,15.46849301436249,,17.81522417261995,0,raw,19,9.903847735375166,393.1656270585954
52,240,latent no-align,0.001,148,0.004250147683558533,0.0,0.0,0.0,0.004083060470686571,0.06399420855214467,0.050095387205884266,0.178674753553964,2.9037007140219873e-05,1.0,1.0,32.8522223441576,,32.8522223441576,15.46849301436249,,17.81522417261995,0,raw,20,9.935029730200768,403.10165026411414
53,240,latent no-align,0.001,148,0.0042072531241747375,0.0,0.0,0.0,0.004064648780292152,0.06489582115633262,0.0502990861549168,0.17647996182377274,3.0086196479592093e-05,1.0,1.0,31.242454346625514,,31.242454346625514,15.46849301436249,,17.81522417261995,0,raw,21,9.271014299243689,412.3736275359988
54,240,latent no-align,0.001,148,0.004141664516331779,0.0,0.0,0.0,0.004087096558430711,0.06631364748888724,0.05039033067186136,0.17554961859777168,3.076743989269646e-05,1.0,1.0,29.70294258761782,,29.70294258761782,15.46849301436249,28.723911336992067,17.81522417261995,0,raw,22,13.069009747356176,425.44364396855235
55,240,latent no-align,0.001,148,0.004183952443339434,0.0,0.0,0.0,0.004075786180643214,0.06687166551883156,0.049668066480473894,0.1786397752930989,3.067412483909032e-05,1.0,1.0,25.71876947722198,,25.71876947722198,15.46849301436249,,17.81522417261995,0,raw,23,9.165650270879269,434.6103469505906
56,240,latent no-align,0.001,148,0.004032896249555051,0.0,0.0,0.0,0.004016631419732663,0.06617236167595193,0.04953309158618386,0.17957393663960533,3.1033078800179726e-05,1.0,1.0,25.703636268810595,,25.703636268810595,15.46849301436249,,17.81522417261995,0,raw,24,9.73400479182601,444.3453518860042
57,240,latent no-align,0.001,148,0.004069830464022989,0.0,0.0,0.0,0.003964855675459714,0.06553886483448583,0.04881244698992452,0.17928312497364507,3.075773528925729e-05,1.0,1.0,24.18698963129713,,24.18698963129713,15.46849301436249,,17.81522417261995,0,raw,25,9.782249424606562,454.12860725447536
58,240,latent no-align,0.001,148,0.004037343064713216,0.0,0.0,0.0,0.003907916147098248,0.06409014383884701,0.04842892847955227,0.18023103787689596,2.9698398889563947e-05,1.0,1.0,19.903279034627595,,19.903279034627595,15.46849301436249,,17.81522417261995,0,raw,26,9.178387276828289,463.307940505445
59,240,latent no-align,0.001,148,0.00400064598196312,0.0,0.0,0.0,0.0038713172323548714,0.0631553557877605,0.04876177934174602,0.17758636327611432,2.8951465795929637e-05,1.0,1.0,18.437523751457853,,18.437523751457853,15.46849301436249,18.939509506760718,17.81522417261995,0,raw,27,12.296612579375505,475.60548255220056
60,240,latent no-align,0.001,148,0.0040223872811357315,0.0,0.0,0.0,0.0038038554170319963,0.06195384357124567,0.04848986350604006,0.17583680787199252,2.7801881023569387e-05,1.0,1.0,19.56338502801045,,19.56338502801045,15.46849301436249,,17.81522417261995,0,raw,28,10.063392370939255,485.66996002197266
61,240,latent no-align,0.001,148,0.0039991363851554895,0.0,0.0,0.0,0.0037830427974915584,0.06146536349646143,0.04797582114367066,0.1737988054550983,2.674149530050911e-05,1.0,1.0,17.749040959567456,,17.749040959567456,15.46849301436249,,17.81522417261995,0,raw,29,8.86244222894311,494.5333331078291
62,240,latent no-align,0.001,148,0.003989791368587395,0.0,0.0,0.0,0.003743533104834323,0.06072719661972007,0.04729688011512563,0.1695910044819922,2.535097016604866e-05,1.0,1.0,17.291515185749965,,17.291515185749965,15.46849301436249,,17.81522417261995,0,raw,30,10.199398446828127,504.73372201249003
63,240,latent no-align,0.001,148,0.003982831281924469,0.0,0.0,0.0,0.003729347138023759,0.06077719799469452,0.046683001961257006,0.167325569065036,2.406276945367682e-05,1.0,1.0,15.411783307379164,,15.411783307379164,15.411783307379164,,17.81522417261995,1,raw,0,9.753710515797138,514.4883616119623
64,240,latent no-align,0.001,148,0.0039777328430146384,0.0,0.0,0.0,0.0037159145734197386,0.06111315501904165,0.04629764615281208,0.1646038727784479,2.353094740445502e-05,1.0,1.0,15.360402046307465,,15.360402046307465,15.360402046307465,16.825667919410176,16.825667919410176,1,raw,0,12.580539252609015,527.0698673091829
65,240,latent no-align,0.001,148,0.0038175379505028598,0.0,0.0,0.0,0.003708547928269852,0.06104610349378876,0.04564606048468802,0.16281778224416682,2.289376717837169e-05,1.0,1.0,14.827276609556522,,14.827276609556522,14.827276609556522,,16.825667919410176,1,raw,0,9.92709082737565,536.9978976882994
66,240,latent no-align,0.001,148,0.003985219473031828,0.0,0.0,0.0,0.0036826801605875023,0.060747467308632425,0.04481903871370328,0.15957416362456373,2.211222917557697e-05,1.0,1.0,15.47655703805226,,15.47655703805226,14.827276609556522,,16.825667919410176,0,raw,1,9.951239064335823,546.9501045048237
67,240,latent no-align,0.001,148,0.003953396909039568,0.0,0.0,0.0,0.003666519192110344,0.06082483947377752,0.04451825107271607,0.15704253295788895,2.163033902458689e-05,1.0,1.0,16.106039545951443,,16.106039545951443,14.827276609556522,,16.825667919410176,0,raw,2,9.14800375327468,556.0990464873612
68,240,latent no-align,0.001,148,0.0038239490995938714,0.0,0.0,0.0,0.0036340332118089537,0.06041530426591635,0.04433465268261529,0.1520336408268761,2.2154374053914926e-05,1.0,1.0,17.363190963420454,,17.363190963420454,14.827276609556522,,16.825667919410176,0,raw,3,9.263446774333715,565.3634208850563
69,240,latent no-align,0.001,148,0.0038449579528910486,0.0,0.0,0.0,0.003602209881678022,0.05995639010861113,0.044053791820801595,0.14820008563834267,2.177431686603184e-05,1.0,1.0,17.697933747551033,,17.697933747551033,14.827276609556522,19.333265201628286,16.825667919410176,0,raw,4,12.971760962158442,578.3361619412899
70,240,latent no-align,0.001,148,0.0037951295427675986,0.0,0.0,0.0,0.003571893264715736,0.059293297371147455,0.043422119893335005,0.14644620607833606,2.1889649778549448e-05,1.0,1.0,20.49087932455139,,20.49087932455139,14.827276609556522,,16.825667919410176,0,raw,5,9.330502092838287,587.6676789708436
71,240,latent no-align,0.001,148,0.0037936462935790217,0.0,0.0,0.0,0.003579384321661515,0.059514514900542596,0.04355594893363682,0.14336277232379527,2.2053206263277587e-05,1.0,1.0,21.352473472077122,,21.352473472077122,14.827276609556522,,16.825667919410176,0,raw,6,9.002449199557304,596.6710620000958
72,240,latent no-align,0.001,148,0.003774982412987565,0.0,0.0,0.0,0.003563453496836529,0.0592316855500276,0.043403377882330806,0.14199240243918188,2.2018143902863124e-05,1.0,1.0,20.682745621902484,,20.682745621902484,14.827276609556522,,16.825667919410176,0,raw,7,9.935304641723633,606.6073640286922
73,240,latent no-align,0.001,148,0.0037714728119632077,0.0,0.0,0.0,0.00356392958358786,0.05956269025399878,0.043226562666933276,0.14376321445043022,2.1949028770315045e-05,1.0,1.0,21.78697186579357,,21.78697186579357,14.827276609556522,,16.825667919410176,0,raw,8,9.873329360038042,616.4816286601126
74,240,latent no-align,0.001,148,0.0037337045226170608,0.0,0.0,0.0,0.0035480806443563386,0.059728016724457614,0.04346188069698778,0.1451663514850913,2.2110094333412064e-05,1.0,1.0,24.32297299416299,,24.32297299416299,14.827276609556522,25.118165109323705,16.825667919410176,0,raw,9,11.758535124361515,628.2410947047174
