epoch,unit,data_len,rmse,bias,pred_mean,truth_mean,pred_min,pred_max
0,FD003-68.txt,270,34.77661787041378,-26.480493247509003,61.156320571899414,87.63681769371033,21.656293869018555,104.84298765659332
0,FD003-13.txt,254,30.224306210904285,-23.27268749475479,60.700288116931915,83.9729756116867,21.86821237206459,105.34667015075684
0,FD003-55.txt,594,67.7046047840967,-61.2227338552475,52.55821794271469,113.7809556722641,20.81275373697281,102.36201643943787
1,FD003-73.txt,284,61.53469358548918,-58.78295809030533,31.61238968372345,90.39535164833069,15.292554423213005,66.48336946964264
1,FD003-1.txt,328,65.58022624959595,-63.671288788318634,33.45226466655731,97.12354958057404,18.447556346654892,83.02625894546509
1,FD003-40.txt,257,54.09654028645441,-51.89434081315994,32.81310170888901,84.70745027065277,17.990227937698364,74.36668276786804
1,FD003-16.txt,413,71.56304086481012,-67.87248492240906,37.37460792064667,105.24709284305573,14.275549203157425,85.15791535377502
1,FD003-98.txt,376,70.2142432971729,-67.12113380432129,35.14270782470703,102.26384162902832,14.750074669718742,76.89207673072815
1,FD003-66.txt,234,45.593186758837405,-43.632264137268066,34.761681854724884,78.39394211769104,18.40785637497902,81.23313128948212
1,FD003-7.txt,493,79.3902847784073,-76.900514960289,33.016944229602814,109.9174553155899,15.446107536554337,70.91567933559418
1,FD003-28.txt,269,56.10824125217326,-53.89884650707245,33.52615147829056,87.42500185966492,17.963421642780304,75.39810717105865
1,FD003-46.txt,273,56.58524800234128,-53.30009639263153,34.95970517396927,88.25980544090271,15.413011312484741,78.86853635311127
1,FD003-69.txt,239,49.401310824820726,-47.22251385450363,32.68925189971924,79.91176187992096,18.246239870786667,76.23129904270172
1,FD003-67.txt,332,66.93261378482309,-65.18365740776062,32.43992120027542,97.62357473373413,18.294482678174973,75.15589356422424
1,FD003-31.txt,252,53.240155671254804,-50.92554062604904,32.5444033741951,83.46995174884796,18.56341928243637,73.63418400287628
1,FD003-34.txt,528,79.79163586899406,-77.39813029766083,34.050673842430115,111.44880414009094,15.330089628696442,78.2447737455368
1,FD003-63.txt,300,62.556842498610784,-60.57260274887085,32.56592512130737,93.13852787017822,17.8806471824646,75.81210732460022
1,FD003-54.txt,263,55.538119464981826,-52.92000025510788,33.18824648857117,86.10825061798096,19.623151272535324,72.88053154945374
1,FD003-36.txt,393,72.78114757895915,-71.45505964756012,32.26407438516617,103.7191379070282,17.67891615629196,79.86545622348785
1,FD003-10.txt,550,83.22723658982194,-82.13030338287354,30.16699805855751,112.29729950428009,17.437148094177246,69.80327427387238
1,FD003-23.txt,265,55.43728452578423,-53.33285748958588,33.223266303539276,86.55611991882324,17.935916036367416,79.32955503463745
1,FD003-96.txt,560,80.0020306022972,-77.51178681850433,35.14606297016144,112.65784204006195,14.377945065498352,79.76933479309082
1,FD003-77.txt,324,61.54794146839327,-56.970563530921936,39.637277722358704,96.60784125328064,14.956194311380386,86.13695919513702
1,FD003-29.txt,292,60.70813788400959,-58.609579205513,33.20656418800354,91.81614339351654,18.308798223733902,75.44771373271942
