epoch,epochs,mode,lr,batch_count,loss_rul,adv_loss,fea_loss,out_loss,latent_loss,recon_loss,smooth_loss,decor_loss,mono_loss,latent_factor,mono_factor,rmse,ema_rmse,selected_rmse,best_rmse,eval_all_rmse,eval_best_rmse,eval_best_epoch,eval_best_source,is_best,best_source,bad_epochs,epoch_time_sec,elapsed_sec
20,240,latent no-align,0.001,148,0.005331109625576819,0.0,0.0,0.0,0.0021237164698037748,0.08077797706465463,0.10384303059529613,0.17491624091525335,3.43906340522399e-05,0.4,1.0,79.64033412733158,,79.64033412733158,48.438108962592345,,48.27967636683593,0,raw,0,raw,20,11.93047297373414,318.6352764107287
21,240,latent no-align,0.001,148,0.005139384258261605,0.0,0.0,0.0,0.002247781415683897,0.08229676407535334,0.10023131297045462,0.17538692872669245,3.6142511092023325e-05,0.425,1.0,77.31905039307823,,77.31905039307823,48.438108962592345,,48.27967636683593,0,raw,0,raw,21,15.200796440243721,333.8953661546111
22,240,latent no-align,0.001,148,0.005069764699107288,0.0,0.0,0.0,0.0023528945418326438,0.08373256083074454,0.09792085309085008,0.1753993435083209,3.760872884929602e-05,0.45,1.0,74.35737818154593,,74.35737818154593,48.438108962592345,,48.27967636683593,0,raw,0,raw,22,15.427162766456604,349.32579136639833
23,240,latent no-align,0.001,148,0.004984134046763585,0.0,0.0,0.0,0.002477691722782077,0.0868169432757674,0.09803045133279788,0.17721904471919342,4.212829502943645e-05,0.475,1.0,72.84458595146216,,72.84458595146216,48.438108962592345,,48.27967636683593,0,raw,0,raw,23,13.677601430565119,363.0061492919922
24,240,latent no-align,0.001,148,0.004918730122389624,0.0,0.0,0.0,0.0026059669593500125,0.08903292375239166,0.09840378804585419,0.17757362157509132,4.514288596240206e-05,0.5,1.0,64.91922857426856,,64.91922857426856,48.438108962592345,64.78504491570055,48.27967636683593,0,raw,0,raw,24,27.995771754533052,391.00470856949687
25,240,latent no-align,0.001,148,0.004930059999743527,0.0,0.0,0.0,0.002768542559351772,0.09173747962592421,0.09806954412645585,0.1762939596901069,4.98630859609064e-05,0.525,1.0,57.611262023572465,,57.611262023572465,48.438108962592345,,48.27967636683593,0,raw,0,raw,25,12.47060540318489,403.478601872921
26,240,latent no-align,0.001,148,0.00498350164569864,0.0,0.0,0.0,0.0029195130840447303,0.09224880612581163,0.09536643567922953,0.17476362181273666,5.111140578535285e-05,0.55,1.0,54.3415297914814,,54.3415297914814,48.438108962592345,,48.27967636683593,0,raw,0,raw,26,11.723701648414135,415.211147993803
27,240,latent no-align,0.001,148,0.0048702741938492135,0.0,0.0,0.0,0.0030513991022834905,0.09176837552238155,0.09306177914746709,0.17515416090955604,5.388721529999276e-05,0.575,1.0,50.83740239438462,,50.83740239438462,48.438108962592345,,48.27967636683593,0,raw,0,raw,27,15.687828801572323,430.90220929682255
28,240,latent no-align,0.001,148,0.004938158102811793,0.0,0.0,0.0,0.00310671645707476,0.08796463237219565,0.08863023653425076,0.17501192036512736,5.212948550202733e-05,0.6,1.0,41.93179313828982,,41.93179313828982,41.93179313828982,41.71390912891266,41.71390912891266,28,raw,1,raw,0,23.437845323234797,454.34333776682615
29,240,latent no-align,0.001,148,0.004740090855095233,0.0,0.0,0.0,0.0031604905568717702,0.08417281166121766,0.08476214161193049,0.17846108842137698,5.192937223418503e-05,0.625,1.0,37.79630026867132,,37.79630026867132,37.79630026867132,37.56477377317738,37.56477377317738,29,raw,1,raw,0,29.532871164381504,483.8789895027876
